课程名,农牧学分,分数分,学期,课程性质
藏语文（上）,2.0 ,89 ,1 ,通必
高等数学,4.0 ,97 ,1 ,学基
基础无机及分析化学,4.0 ,91 ,1 ,学基
计算机应用基础,3.0 ,92 ,1 ,通必
思想道德与法治,3.0 ,88 ,1 ,通必
体育I,2.0 ,89 ,1 ,通必
形势与政策I,0.5 ,95 ,1 ,通必
英语I,3.0 ,98 ,1 ,通必
职业生涯规划,0.5 ,67 ,1 ,拓必
植物学I,3.0 ,92 ,1 ,学基
中华文化导论（上）,2.0 ,85 ,1 ,拓必
藏语文（下）,2.0 ,91 ,2 ,通必
大学生心理健康教育,1.5 ,90 ,2 ,通必
概率论,2.0 ,84 ,2 ,学基
基础有机化学,4.0 ,87 ,2 ,学基
军事理论,2.0 ,93 ,2 ,通必
网球,2.0 ,88 ,2 ,通必
形势与政策I,0.5 ,93 ,2 ,通必
英语II,4.0 ,92 ,2 ,通必
植物生理学Ⅱ,3.0 ,98 ,2 ,学基
植物学2课程实习,1.0 ,98 ,2 ,实践
植物学II,2.0 ,95 ,2 ,学基
中国近代史纲要,3.0 ,80 ,2 ,通必
中华文化导论（下）,2.0 ,85 ,2 ,通必
军事训练,2.0 ,75 ,3 ,通必
英语水平测试,5.0 ,85 ,3 ,英选
农产品贮藏与加工,2.0 ,93 ,3 ,专选
土壤肥料学通论,3.0 ,78 ,3 ,学基
基础微生物学,3.0 ,85 ,3 ,学基
习近平新时代中国特色社会主义思想概论,3.0 ,90 ,3 ,通必
基础生物化学Ⅱ,3.0 ,81 ,3 ,学基
农业推广学,2.0 ,93 ,4 ,专选
畜牧概论,3.0 ,88 ,4 ,专选
食用菌栽培学,2.0 ,93 ,4 ,专选
农业生态学,2.0 ,93 ,4 ,专选
基础气象学,3.0 ,83 ,4 ,学基
毛泽东思想和中国特色社会主义理论体系概论,3.0 ,85 ,4 ,通必
马克思主义基本原理概论,3.0 ,85 ,4 ,通必
遗传学,4.0 ,73 ,4 ,学基
植物组织培养技术,2.0 ,83 ,5 ,专选
种子学,2.0 ,78 ,5 ,专必
农业昆虫学,3.0 ,85 ,5 ,学基
农业植物病理学,3.0 ,81 ,5 ,学基
分子生物学,2.0 ,85 ,5 ,学基
生物统计与试验设计,3.0 ,81 ,5 ,学基
耕作学,2.0 ,85 ,5 ,专必
农业机械与操作,1.5 ,90 ,6 ,专选
作物育种学Ⅰ,3.0 ,78 ,6 ,专必
西藏作物栽培学Ⅰ,2.0 ,90 ,6 ,专必
