课程名,农牧学分,分数分,替代于,学期,课程性质
藏语文（上）,2.0 ,89 ,农牧原本的课,1 ,通必
高等数学,4.0 ,97 ,农牧原本的课,1 ,学基
基础无机及分析化学,4.0 ,91 ,农牧原本的课,1 ,学基
计算机应用基础,3.0 ,92 ,农牧原本的课,1 ,通必
思想道德与法治,3.0 ,88 ,农牧原本的课,1 ,通必
体育I,2.0 ,89 ,农牧原本的课,1 ,通必
形势与政策I,0.5 ,95 ,农牧原本的课,1 ,通必
英语I,3.0 ,98 ,农牧原本的课,1 ,通必
职业生涯规划,0.5 ,67 ,农牧原本的课,1 ,拓必
植物学I,3.0 ,92 ,农牧原本的课,1 ,学基
中华文化导论（上）,2.0 ,85 ,农牧原本的课,1 ,拓必
藏语文（下）,2.0 ,91 ,农牧原本的课,2 ,通必
大学生心理健康教育,1.5 ,90 ,农牧原本的课,2 ,通必
概率论,2.0 ,84 ,农牧原本的课,2 ,学基
基础有机化学,4.0 ,87 ,农牧原本的课,2 ,学基
军事理论,2.0 ,93 ,农牧原本的课,2 ,通必
网球,2.0 ,88 ,农牧原本的课,2 ,通必
形势与政策I,0.5 ,93 ,农牧原本的课,2 ,通必
英语II,4.0 ,92 ,农牧原本的课,2 ,通必
植物生理学Ⅱ,3.0 ,98 ,农牧原本的课,2 ,学基
植物学2课程实习,1.0 ,98 ,农牧原本的课,2 ,实践
植物学II,2.0 ,95 ,农牧原本的课,2 ,学基
中国近代史纲要,3.0 ,80 ,农牧原本的课,2 ,通必
中华文化导论（下）,2.0 ,85 ,农牧原本的课,2 ,通必
军事训练,2.0 ,75 ,农牧原本的课,3 ,通必
英语水平测试,5.0 ,85 ,农牧原本的课,3 ,英选
土壤学B实验,0.5 ,90 ,土壤学B实验,3 ,通必
农产品贮藏与加工,2.0 ,93 ,面食文化与技艺,6 ,专选
土壤肥料学通论,3.0 ,78 ,土壤学B,3 ,学基
基础微生物学,3.0 ,85 ,微生物与植物病原学,4 ,学基
习近平新时代中国特色社会主义思想概论,3.0 ,90 ,习近平新时代中国特色社会主义思想概论,5 ,通必
橄榄球俱乐部1,2.0 ,93 ,橄榄球俱乐部1,3 ,通必
基础生物化学Ⅱ,3.0 ,81 ,生物化学B,3 ,学基
农业推广学,2.0 ,93 ,管理咨询实务,4 ,专选
畜牧概论,3.0 ,88 ,人与动物冠状病毒概论,3 ,专选
微生物与植物病原学实验,1.0 ,88 ,微生物与植物病原学实验,3 ,通必
食用菌栽培学,2.0 ,93 ,食用菌栽培学,6 ,专选
农业生态学,2.0 ,93 ,农业生态学,4 ,专选
基础气象学,3.0 ,83 ,农业气象学B,4 ,学基
毛泽东思想和中国特色社会主义理论体系概论,3.0 ,85 ,毛泽东思想和中国特色社会主义理论体系概论,4 ,通必
马克思主义基本原理概论,3.0 ,85 ,马克思主义基本原理,3 ,通必
遗传学,4.0 ,73 ,遗传学A,4 ,学基
植物组织培养技术,2.0 ,83 ,植物生物技术导论,3 ,专选
橄榄球俱乐部2,2.0 ,88 ,橄榄球俱乐部2,4 ,通必
种子学,2.0 ,78 ,种子学,5 ,专必
农业昆虫学,3.0 ,85 ,普通昆虫学,4 ,学基
农业植物病理学,3.0 ,81 ,普通植物病理学,5 ,学基
分子生物学,2.0 ,85 ,分子生物学导论,5 ,学基
分子生物学实验,0.5 ,93 ,分子生物学实验,5 ,通必
生物统计与试验设计,3.0 ,81 ,生物统计与试验设计,4 ,学基
耕作学,2.0 ,85 ,耕作学,6 ,专必
农业机械与操作,1.5 ,90 ,科技论文写作,5 ,专选
试验设计与生物统计实验,0.5 ,88 ,试验设计与生物统计实验,5 ,通必
农学专业实验(1),1.0 ,90 ,农学专业实验(1),5 ,通必
农业信息技术实验,1.0 ,90 ,农业信息技术实验,6 ,通必
作物育种学Ⅰ,3.0 ,78 ,作物育种学,5 ,专必
西藏作物栽培学Ⅰ,2.0 ,90 ,作物栽培学A,5 ,专必
农学专业实验(2),2.0 ,88 ,农学专业实验(2),6 ,通必
